order_id,customer_name,product_name,price,quantity,order_date
ORD00001,charlie ,,341.20020395092,3.0,
ORD00002,charlie ,Laptop,,1.0,
ORD00003,charlie ,Headphones,1333.2809563402752,2.0,2023-10-01
ORD00004,  Dave,Tablet,,1.0,2023-10-01
ORD00005,Alice,Tablet,191.65206970579112,,2023-10-01
ORD00006,  Dave,Phone,Not Available,,01/10/2023
ORD00007,  Dave,Phone,105.79904091311491,1.0,
ORD00008,Alice,Phone,,3.0,
ORD00009,,,158.165914853721,3.0,2023-10-01
ORD00010,Alice,Headphones,1337.8710941278819,2.0,01/10/2023
ORD00011,,,753.3010399043725,,
ORD00012,,,534.6628431150591,1.0,2023/10/01
ORD00013,Bob,,1259.260767933417,,01/10/2023
ORD00014,Bob,,,1.0,01/10/2023
ORD00015,  Dave,Tablet,Not Available,,
ORD00016,,,Not Available,2.0,01/10/2023
ORD00017,,Headphones,,2.0,01/10/2023
ORD00018,Alice,Tablet,Not Available,1.0,
ORD00019,,Tablet,289.4071577128276,2.0,
ORD00020,Alice,Laptop,,1.0,2023/10/01
ORD00021,Bob,Laptop,,3.0,01/10/2023
ORD00022,Bob,Laptop,,1.0,2023/10/01
ORD00023,  Dave,Laptop,,2.0,01/10/2023
ORD00024,Bob,,,,2023-10-01
ORD00025,charlie ,,Not Available,2.0,2023/10/01
ORD00026,charlie ,Tablet,Not Available,,01/10/2023
ORD00027,charlie ,Headphones,899.1456288072926,2.0,
ORD00028,  Dave,Tablet,,3.0,
ORD00029,,Tablet,,1.0,01/10/2023
ORD00030,,Tablet,,1.0,2023-10-01
ORD00031,charlie ,Laptop,Not Available,,01/10/2023
ORD00032,Bob,Tablet,Not Available,1.0,2023/10/01
ORD00033,Bob,Tablet,,2.0,
ORD00034,Alice,,,1.0,01/10/2023
ORD00035,,,852.1542896401044,1.0,01/10/2023
ORD00036,  Dave,Headphones,Not Available,,2023-10-01
ORD00037,Bob,Headphones,,3.0,2023/10/01
ORD00038,Bob,Phone,1218.8366478221747,,
ORD00039,charlie ,Laptop,,1.0,2023/10/01
ORD00040,  Dave,Headphones,Not Available,2.0,
ORD00041,  Dave,Tablet,Not Available,2.0,01/10/2023
ORD00042,Bob,Tablet,Not Available,3.0,
ORD00043,charlie ,,Not Available,3.0,2023/10/01
ORD00044,,Headphones,,2.0,2023/10/01
ORD00045,charlie ,Tablet,,1.0,2023-10-01
ORD00046,charlie ,Laptop,,3.0,2023/10/01
ORD00047,,Tablet,,2.0,2023-10-01
ORD00048,charlie ,Phone,,2.0,2023-10-01
ORD00049,Alice,Tablet,,,2023-10-01
ORD00050,Bob,Headphones,,3.0,
ORD00051,Bob,,,,2023-10-01
ORD00052,  Dave,Headphones,Not Available,,2023/10/01
ORD00053,  Dave,Tablet,1181.4369839777385,3.0,2023-10-01
ORD00054,  Dave,Tablet,567.0377865459019,1.0,2023-10-01
ORD00055,Bob,Tablet,847.5341222608017,1.0,01/10/2023
ORD00056,Bob,Tablet,Not Available,,2023-10-01
ORD00057,Bob,Headphones,,,01/10/2023
ORD00058,,Laptop,,3.0,2023-10-01
ORD00059,charlie ,Laptop,,,2023-10-01
ORD00060,,Laptop,,2.0,
ORD00061,Bob,Laptop,1007.117087239963,2.0,2023/10/01
ORD00062,Bob,,,3.0,
ORD00063,  Dave,Headphones,,3.0,2023/10/01
ORD00064,charlie ,Laptop,,,01/10/2023
ORD00065,  Dave,Headphones,,,01/10/2023
ORD00066,charlie ,Tablet,203.57742074647027,3.0,2023-10-01
ORD00067,Alice,,1248.4392159254592,,2023-10-01
ORD00068,charlie ,Laptop,692.5096879354211,2.0,
ORD00069,Bob,Headphones,Not Available,,
ORD00070,  Dave,Headphones,Not Available,2.0,2023-10-01
ORD00071,  Dave,Laptop,,,2023/10/01
ORD00072,Alice,Laptop,Not Available,3.0,01/10/2023
ORD00073,,Phone,Not Available,3.0,2023-10-01
ORD00074,Alice,Laptop,388.80622418727376,,
ORD00075,  Dave,Headphones,,3.0,
ORD00076,charlie ,Tablet,,,2023-10-01
ORD00077,charlie ,,Not Available,3.0,
ORD00078,,Headphones,Not Available,1.0,01/10/2023
ORD00079,  Dave,Phone,,2.0,2023/10/01
ORD00080,Bob,Phone,381.76224124414716,2.0,2023/10/01
ORD00081,charlie ,Laptop,,,
ORD00082,  Dave,Headphones,,2.0,2023-10-01
ORD00083,,Phone,579.0935646697714,2.0,
ORD00084,Bob,Tablet,Not Available,1.0,01/10/2023
ORD00085,  Dave,Tablet,236.60836573763407,3.0,2023/10/01
ORD00086,Alice,Tablet,Not Available,1.0,2023-10-01
ORD00087,charlie ,Phone,,1.0,
ORD00088,  Dave,Laptop,,1.0,2023/10/01
ORD00089,  Dave,Headphones,,1.0,2023-10-01
ORD00090,,Tablet,Not Available,3.0,2023/10/01
ORD00091,Bob,Headphones,Not Available,,
ORD00092,Bob,Tablet,1410.6566096047495,,01/10/2023
ORD00093,Alice,Headphones,Not Available,3.0,01/10/2023
ORD00094,,Laptop,,2.0,2023/10/01
ORD00095,Alice,Phone,855.2628599305322,1.0,
ORD00096,  Dave,,Not Available,2.0,01/10/2023
ORD00097,Bob,Headphones,Not Available,3.0,
ORD00098,,Tablet,,,
ORD00099,Bob,,1469.784933263267,,
ORD00100,Bob,,,3.0,2023/10/01
ORD00101,  Dave,Headphones,1278.1173786034578,2.0,01/10/2023
ORD00102,Alice,Headphones,Not Available,1.0,01/10/2023
ORD00103,charlie ,Headphones,,,2023-10-01
ORD00104,charlie ,Laptop,Not Available,,
ORD00105,  Dave,Tablet,Not Available,,2023-10-01
ORD00106,  Dave,Laptop,,3.0,2023/10/01
ORD00107,Alice,,759.1287045832695,,01/10/2023
ORD00108,Alice,Laptop,1133.983553356148,,2023/10/01
ORD00109,Bob,Headphones,Not Available,,2023-10-01
ORD00110,charlie ,Tablet,Not Available,2.0,01/10/2023
ORD00111,Alice,Laptop,237.91597460655504,1.0,
ORD00112,  Dave,Laptop,57.15059079384302,2.0,2023/10/01
ORD00113,charlie ,Headphones,Not Available,1.0,
ORD00114,,,Not Available,3.0,2023-10-01
ORD00115,Bob,,Not Available,2.0,2023-10-01
ORD00116,charlie ,Headphones,538.1239601211573,2.0,01/10/2023
ORD00117,Alice,Phone,730.9754692162834,2.0,
ORD00118,Alice,Laptop,,,2023/10/01
ORD00119,  Dave,Tablet,Not Available,,2023/10/01
ORD00120,Bob,Tablet,Not Available,2.0,2023/10/01
ORD00121,,,,,
ORD00122,Alice,Headphones,1401.2976065467958,3.0,2023-10-01
ORD00123,  Dave,Phone,,,2023/10/01
ORD00124,  Dave,,,2.0,2023/10/01
ORD00125,charlie ,Laptop,Not Available,1.0,
ORD00126,,,,,2023-10-01
ORD00127,Bob,Tablet,,2.0,2023-10-01
ORD00128,Bob,,,3.0,2023/10/01
ORD00129,Bob,Phone,Not Available,2.0,01/10/2023
ORD00130,Alice,Phone,Not Available,1.0,2023/10/01
ORD00131,Alice,,,,01/10/2023
ORD00132,Bob,,Not Available,2.0,2023-10-01
ORD00133,  Dave,,,3.0,2023/10/01
ORD00134,Bob,Tablet,,3.0,01/10/2023
ORD00135,charlie ,,755.3459507306077,3.0,2023/10/01
ORD00136,Bob,Headphones,,2.0,2023-10-01
ORD00137,charlie ,Laptop,Not Available,,01/10/2023
ORD00138,  Dave,,,2.0,2023-10-01
ORD00139,  Dave,Laptop,Not Available,,2023/10/01
ORD00140,Bob,Tablet,,2.0,
ORD00141,  Dave,Phone,,,
ORD00142,Bob,Phone,1086.2303299396601,3.0,2023-10-01
ORD00143,  Dave,Headphones,Not Available,1.0,01/10/2023
ORD00144,  Dave,Phone,289.60854236919926,,2023-10-01
ORD00145,Alice,Phone,,,2023-10-01
ORD00146,charlie ,,Not Available,,2023-10-01
ORD00147,Alice,Laptop,,1.0,2023-10-01
ORD00148,,,Not Available,2.0,2023/10/01
ORD00149,  Dave,,Not Available,,2023/10/01
ORD00150,,Phone,,,2023/10/01
ORD00151,Alice,Tablet,203.55362438483047,2.0,01/10/2023
ORD00152,Bob,Phone,Not Available,2.0,2023/10/01
ORD00153,Alice,Headphones,,3.0,2023/10/01
ORD00154,,Headphones,Not Available,3.0,01/10/2023
ORD00155,charlie ,Laptop,1406.8469952660062,2.0,2023/10/01
ORD00156,Bob,Tablet,Not Available,2.0,2023/10/01
ORD00157,,Headphones,Not Available,,01/10/2023
ORD00158,,Laptop,Not Available,,01/10/2023
ORD00159,  Dave,Tablet,976.4708962243734,,2023/10/01
ORD00160,,Laptop,,1.0,
ORD00161,charlie ,Headphones,Not Available,1.0,2023/10/01
ORD00162,  Dave,Laptop,333.0047950323983,2.0,
ORD00163,Alice,Headphones,1479.8468554313306,3.0,2023-10-01
ORD00164,,Phone,,,01/10/2023
ORD00165,charlie ,Headphones,Not Available,,2023/10/01
ORD00166,Bob,Phone,523.7803788143997,3.0,2023-10-01
ORD00167,  Dave,Phone,,1.0,
ORD00168,  Dave,,Not Available,3.0,2023-10-01
ORD00169,  Dave,,,2.0,2023/10/01
ORD00170,,Headphones,Not Available,2.0,
ORD00171,Alice,Headphones,Not Available,2.0,
ORD00172,Alice,Headphones,Not Available,2.0,01/10/2023
ORD00173,  Dave,Tablet,1112.9225316201284,3.0,2023/10/01
ORD00174,,,Not Available,2.0,
ORD00175,Bob,Laptop,,1.0,2023-10-01
